
Limits
FitOrder = 4
NewCal = 1000

OldCTBFile = D2_263.ctb
NewCTBFile = NewD2_263.ctb

// RTC-X [Bit] RTC-Y[Bit] REAL-X[mm] REAL-Y[mm]

 -7000  -7000  -9.0210  -8.9270
 -7000  -3500  -9.0210  -4.4380
 -7000      0  -9.0210   0.0000
 -7000  +3500  -9.0210  +4.4780
 -7000  +7000  -9.0210  +8.9510

 -3500  -7000  -4.5000  -8.9270
 -3500  -3500  -4.5000  -4.4380
 -3500      0  -4.5000   0.0000
 -3500  +3500  -4.5000  +4.4780
 -3500  +7000  -4.5000  +8.9510

     0  -7000   0.0000  -8.9270
     0  -3500   0.0000  -4.4380
     0      0   0.0000   0.0000
     0  +3500   0.0000  +4.4780
     0  +7000   0.0000  +8.9510

 +3500  -7000  +4.5000  -8.9270
 +3500  -3500  +4.5000  -4.4380
 +3500      0  +4.5000   0.0000
 +3500  +3500  +4.5000  +4.4780
 +3500  +7000  +4.5000  +8.9510

 +7000  -7000  +9.0210  -8.9270
 +7000  -3500  +9.0210  -4.4380
 +7000      0  +9.0210   0.0000
 +7000  +3500  +9.0210  +4.4780
 +7000  +7000  +9.0210  +8.9510

