
Limits
FitOrder = 4
NewCal = 1000

OldCTBFile = D2_263.ctb
NewCTBFile = NewD2_263.ctb

// RTC-X [Bit] RTC-Y[Bit] REAL-X[mm] REAL-Y[mm]

-16000 -16000   0.0000   0.0000
-16000  -8000   0.0000   0.0000
-16000      0   0.0000   0.0000
-16000  +8000   0.0000   0.0000
-16000 +16000   0.0000   0.0000

 -8000 -16000   0.0000   0.0000
 -8000  -8000   0.0000   0.0000
 -8000      0   0.0000   0.0000
 -8000  +8000   0.0000   0.0000
 -8000 +16000   0.0000   0.0000

     0 -16000   0.0000   0.0000
     0  -8000   0.0000   0.0000
     0      0   0.0000   0.0000
     0  +8000   0.0000   0.0000
     0 +16000   0.0000   0.0000

 +8000 -16000   0.0000   0.0000
 +8000  -8000   0.0000   0.0000
 +8000      0   0.0000   0.0000
 +8000  +8000   0.0000   0.0000
 +8000 +16000   0.0000   0.0000

+16000 -16000   0.0000   0.0000
+16000  -8000   0.0000   0.0000
+16000      0   0.0000   0.0000
+16000  +8000   0.0000   0.0000
+16000 +16000   0.0000   0.0000

