
Limits
FitOrder = 4
NewCal = 1000

OldCTBFile = D2_263.ctb
NewCTBFile = NewD2_263.ctb

// RTC-X [Bit] RTC-Y[Bit] REAL-X[mm] REAL-Y[mm]

 -6000  -6000   0.0000   0.0000
 -6000  -3000   0.0000   0.0000
 -6000      0   0.0000   0.0000
 -6000  +3000   0.0000   0.0000
 -6000  +6000   0.0000   0.0000

 -3000  -6000   0.0000   0.0000
 -3000  -3000   0.0000   0.0000
 -3000      0   0.0000   0.0000
 -3000  +3000   0.0000   0.0000
 -3000  +6000   0.0000   0.0000

     0  -6000   0.0000   0.0000
     0  -3000   0.0000   0.0000
     0      0   0.0000   0.0000
     0  +3000   0.0000   0.0000
     0  +6000   0.0000   0.0000

 +3000  -6000   0.0000   0.0000
 +3000  -3000   0.0000   0.0000
 +3000      0   0.0000   0.0000
 +3000  +3000   0.0000   0.0000
 +3000  +6000   0.0000   0.0000

 +6000  -6000   0.0000   0.0000
 +6000  -3000   0.0000   0.0000
 +6000      0   0.0000   0.0000
 +6000  +3000   0.0000   0.0000
 +6000  +6000   0.0000   0.0000

