
Limits
FitOrder = 4
NewCal = 1000

OldCTBFile = D2_263.ctb
NewCTBFile = NewD2_263.ctb

// RTC-X [Bit] RTC-Y[Bit] REAL-X[mm] REAL-Y[mm]

 -6560  -6560 +12.6430 -12.6430
 -6560  -3280 +12.6430  -6.3040
 -6560      0 +12.6430   0.0000
 -6560  +3280 +12.6430  +6.3040
 -6560  +6560 +12.6430 +12.6430

 -3280  -6560  +6.3040 -12.6430
 -3280  -3280  +6.3040  -6.3040
 -3280      0  +6.3040   0.0000
 -3280  +3280  +6.3040  +6.3040
 -3280  +6560  +6.3040 +12.6430

     0  -6560   0.0000 -12.6430
     0  -3280   0.0000  -6.3040
     0      0   0.0000   0.0000
     0  +3280   0.0000  +6.3040
     0  +6560   0.0000 +12.6430

 +3280  -6560  -6.3040 -12.6430
 +3280  -3280  -6.3040  -6.3040
 +3280      0  -6.3040   0.0000
 +3280  +3280  -6.3040  +6.3040
 +3280  +6560  -6.3040 +12.6430

 +6560  -6560 -12.6430 -12.6430
 +6560  -3280 -12.6430  -6.3040
 +6560      0 -12.6430   0.0000
 +6560  +3280 -12.6430  +6.3040
 +6560  +6560 -12.6430 +12.6430

